Gene stable ID	Transcript stable ID	Human gene stable ID	Human gene name	Human protein or transcript stable ID	Human chromosome/scaffold name	Human chromosome/scaffold start (bp)	Human homology type	Human orthology confidence [0 low, 1 high]
ENSTGUG00000003796	ENSTGUT00000003944							
ENSTGUG00000003797	ENSTGUT00000003983	ENSG00000124831	LRRFIP1	ENSP00000375857	2	237627587	ortholog_one2one	1
ENSTGUG00000003798	ENSTGUT00000003961	ENSG00000116406	EDEM3	ENSP00000318147	1	184690237	ortholog_one2one	1
ENSTGUG00000003799	ENSTGUT00000003946							
ENSTGUG00000003800	ENSTGUT00000004045	ENSG00000009694	TENM1	ENSP00000403954	X	124375903	ortholog_one2one	1
ENSTGUG00000003801	ENSTGUT00000003962	ENSG00000168096	ANKS3	ENSP00000304586	16	4696510	ortholog_one2one	1
ENSTGUG00000003802	ENSTGUT00000003965	ENSG00000132837	DMGDH	ENSP00000255189	5	78997606	ortholog_one2one	1
ENSTGUG00000003803	ENSTGUT00000003969	ENSG00000163517	HDAC11	ENSP00000295757	3	13479724	ortholog_one2one	1
ENSTGUG00000003804	ENSTGUT00000003975	ENSG00000172819	RARG	ENSP00000388510	12	53210567	ortholog_one2many	1
ENSTGUG00000003805	ENSTGUT00000003955	ENSG00000101400	SNTA1	ENSP00000217381	20	33407955	ortholog_one2one	1
ENSTGUG00000003806	ENSTGUT00000003978	ENSG00000138079	SLC3A1	ENSP00000260649	2	44275458	ortholog_one2one	1
ENSTGUG00000003807	ENSTGUT00000003956	ENSG00000165730	STOX1	ENSP00000298596	10	68827531	ortholog_one2one	0
ENSTGUG00000003808	ENSTGUT00000003970	ENSG00000239521	CASTOR3	ENSP00000389760	7	100200653	ortholog_many2many	1
ENSTGUG00000003808	ENSTGUT00000003970	ENSG00000274070	CASTOR2	ENSP00000484732	7	74964818	ortholog_many2many	1
ENSTGUG00000003809	ENSTGUT00000003960	ENSG00000173769	TOPAZ1	ENSP00000310303	3	44241886	ortholog_one2one	0
ENSTGUG00000003810	ENSTGUT00000004011	ENSG00000165732	DDX21	ENSP00000346120	10	68956170	ortholog_one2many	1
ENSTGUG00000003811	ENSTGUT00000003959	ENSG00000124191	TOX2	ENSP00000344724	20	43914852	ortholog_one2many	1
ENSTGUG00000003812	ENSTGUT00000003963	ENSG00000236699	ARHGEF38	ENSP00000416125	4	105552620	ortholog_one2many	1
ENSTGUG00000003813	ENSTGUT00000003966	ENSG00000088298	EDEM2	ENSP00000363616	20	35115364	ortholog_one2one	1
ENSTGUG00000003814	ENSTGUT00000003977	ENSG00000011198	ABHD5	ENSP00000495778	3	43690108	ortholog_one2one	1
ENSTGUG00000003815	ENSTGUT00000003967	ENSG00000116667	C1orf21	ENSP00000235307	1	184387029	ortholog_one2one	1
ENSTGUG00000003816	ENSTGUT00000003987							
ENSTGUG00000003817	ENSTGUT00000003981	ENSG00000138785	INTS12	ENSP00000415433	4	105682627	ortholog_one2one	1
ENSTGUG00000003818	ENSTGUT00000003990	ENSG00000113273	ARSB	ENSP00000264914	5	78777209	ortholog_one2one	1
ENSTGUG00000003819	ENSTGUT00000003980	ENSG00000143612	C1orf43	ENSP00000357507	1	154206696	ortholog_one2one	1
ENSTGUG00000003820	ENSTGUT00000004028	ENSG00000100991	TRPC4AP	ENSP00000252015	20	35002404	ortholog_one2many	1
ENSTGUG00000003821	ENSTGUT00000003971	ENSG00000198860	TSEN15	ENSP00000355299	1	184051651	ortholog_one2one	1
ENSTGUG00000003822	ENSTGUT00000003972							
ENSTGUG00000003823	ENSTGUT00000004019	ENSG00000132182	NUP210	ENSP00000254508	3	13316235	ortholog_one2many	1
ENSTGUG00000003824	ENSTGUT00000003974	ENSG00000219438	FAM19A5	ENSP00000383933	22	48489460	ortholog_one2one	1
ENSTGUG00000003825	ENSTGUT00000004020	ENSG00000106665	CLIP2	ENSP00000223398	7	74289475	ortholog_one2one	1
ENSTGUG00000003826	ENSTGUT00000003991	ENSG00000198756	COLGALT2	ENSP00000354960	1	183929854	ortholog_one2many	1
ENSTGUG00000003827	ENSTGUT00000003982							
ENSTGUG00000003828	ENSTGUT00000003995	ENSG00000148337	CIZ1	ENSP00000439244	9	128161251	ortholog_one2one	0
ENSTGUG00000003829	ENSTGUT00000004012	ENSG00000063046	EIF4B	ENSP00000388806	12	53006158	ortholog_one2one	1
ENSTGUG00000003830	ENSTGUT00000003994	ENSG00000160746	ANO10	ENSP00000292246	3	43354859	ortholog_one2one	1
ENSTGUG00000003831	ENSTGUT00000004004	ENSG00000115977	AAK1	ENSP00000386456	2	69457997	ortholog_one2one	1
ENSTGUG00000003832	ENSTGUT00000003989	ENSG00000138078	PREPL	ENSP00000386543	2	44316281	ortholog_one2one	1
ENSTGUG00000003833	ENSTGUT00000003986	ENSG00000140398	NEIL1	ENSP00000347170	15	75346955	ortholog_one2one	1
ENSTGUG00000003834	ENSTGUT00000004062	ENSG00000143569	UBAP2L	ENSP00000389445	1	154220179	ortholog_one2one	1
ENSTGUG00000003835	ENSTGUT00000004002	ENSG00000100425	BRD1	ENSP00000410042	22	49773283	ortholog_one2one	1
ENSTGUG00000003836	ENSTGUT00000003988	ENSG00000138780	GSTCD	ENSP00000422354	4	105708778	ortholog_one2one	1
ENSTGUG00000003837	ENSTGUT00000003984							
ENSTGUG00000003838	ENSTGUT00000003985							
ENSTGUG00000003839	ENSTGUT00000004003	ENSG00000184182	UBE2F	ENSP00000478474	2	237966827	ortholog_many2many	1
ENSTGUG00000003839	ENSTGUT00000004003	ENSG00000258984	UBE2F-SCLY	ENSP00000456827	2	237967014	ortholog_many2many	1
ENSTGUG00000003840	ENSTGUT00000003996	ENSG00000140365	COMMD4	ENSP00000267935	15	75335891	ortholog_one2one	1
ENSTGUG00000003841	ENSTGUT00000004016	ENSG00000103351	CLUAP1	ENSP00000344392	16	3500976	ortholog_one2one	1
ENSTGUG00000003842	ENSTGUT00000004026	ENSG00000168743	NPNT	ENSP00000389252	4	105894775	ortholog_one2many	1
ENSTGUG00000003843	ENSTGUT00000004009	ENSG00000143919	CAMKMT	ENSP00000367755	2	44361947	ortholog_one2one	1
ENSTGUG00000003844	ENSTGUT00000003992	ENSG00000145685	LHFPL2	ENSP00000369702	5	78485215	ortholog_one2one	1
ENSTGUG00000003845	ENSTGUT00000004034	ENSG00000143344	RGL1	ENSP00000303192	1	183636085	ortholog_one2one	1
ENSTGUG00000003846	ENSTGUT00000004041	ENSG00000085365	SCAMP1	ENSP00000481022	5	78360611	ortholog_one2one	1
ENSTGUG00000003847	ENSTGUT00000004027	ENSG00000131686	CA6	ENSP00000366654	1	8945867	ortholog_one2one	1
ENSTGUG00000003848	ENSTGUT00000004000	ENSG00000163788	SNRK	ENSP00000296088	3	43286512	ortholog_one2one	1
ENSTGUG00000003849	ENSTGUT00000003997	ENSG00000171159	C9orf16	ENSP00000362085	9	128160265	ortholog_one2one	1
ENSTGUG00000003850	ENSTGUT00000003998							
ENSTGUG00000003851	ENSTGUT00000004008	ENSG00000148334	PTGES2	ENSP00000345341	9	128120693	ortholog_one2one	1
ENSTGUG00000003852	ENSTGUT00000003999							
ENSTGUG00000003853	ENSTGUT00000004001							
ENSTGUG00000003854	ENSTGUT00000004005	ENSG00000144647	POMGNT2	ENSP00000344125	3	43079232	ortholog_one2one	1
ENSTGUG00000003855	ENSTGUT00000004015	ENSG00000138621	PPCDC	ENSP00000343190	15	75023586	ortholog_one2one	1
ENSTGUG00000003856	ENSTGUT00000004010	ENSG00000100426	ZBED4	ENSP00000216268	22	49853844	ortholog_one2one	1
ENSTGUG00000003857	ENSTGUT00000004007							
ENSTGUG00000003858	ENSTGUT00000004017	ENSG00000144649	GASK1A	ENSP00000407301	3	42979267	ortholog_one2one	1
ENSTGUG00000003859	ENSTGUT00000004006							
ENSTGUG00000003860	ENSTGUT00000004040	ENSG00000169599	NFU1	ENSP00000387219	2	69395750	ortholog_one2one	1
ENSTGUG00000003861	ENSTGUT00000004018							
ENSTGUG00000003862	ENSTGUT00000004021	ENSG00000182858	ALG12	ENSP00000333813	22	49900229	ortholog_one2one	1
ENSTGUG00000003863	ENSTGUT00000004057	ENSG00000136811	ODF2	ENSP00000403453	9	128455186	ortholog_one2many	1
ENSTGUG00000003864	ENSTGUT00000004013	ENSG00000138083	SIX3	ENSP00000260653	2	44941702	ortholog_one2one	1
ENSTGUG00000003865	ENSTGUT00000004014	ENSG00000165732	DDX21	ENSP00000346120	10	68956170	ortholog_one2many	1
ENSTGUG00000003866	ENSTGUT00000004056							
ENSTGUG00000003867	ENSTGUT00000004023	ENSG00000170577	SIX2	ENSP00000304502	2	45005182	ortholog_one2one	1
ENSTGUG00000003868	ENSTGUT00000004031	ENSG00000198954	KIF1BP	ENSP00000354848	10	68988721	ortholog_one2one	1
ENSTGUG00000003869	ENSTGUT00000004044	ENSG00000198794	SCAMP5	ENSP00000355387	15	74957219	ortholog_one2one	1
ENSTGUG00000003870	ENSTGUT00000004036	ENSG00000167984	NLRC3	ENSP00000352039	16	3539033	ortholog_one2one	1
ENSTGUG00000003871	ENSTGUT00000004048	ENSG00000188846	RPL14	ENSP00000345156	3	40457292	ortholog_one2one	1
ENSTGUG00000003872	ENSTGUT00000004025	ENSG00000118242	MREG	ENSP00000263268	2	215942584	ortholog_one2one	1
ENSTGUG00000003874	ENSTGUT00000004043	ENSG00000184164	CRELD2	ENSP00000383938	22	49918167	ortholog_one2many	1
ENSTGUG00000003875	ENSTGUT00000004046	ENSG00000049541	RFC2	ENSP00000055077	7	74231499	ortholog_one2one	1
ENSTGUG00000003876	ENSTGUT00000004055	ENSG00000144711	IQSEC1	ENSP00000480301	3	12897043	ortholog_one2one	1
ENSTGUG00000003877	ENSTGUT00000004024							
ENSTGUG00000003878	ENSTGUT00000004051	ENSG00000068784	SRBD1	ENSP00000263736	2	45388680	ortholog_one2one	1
ENSTGUG00000003879	ENSTGUT00000004030	ENSG00000163840	DTX3L	ENSP00000296161	3	122564338	ortholog_one2one	1
ENSTGUG00000003880	ENSTGUT00000004029	ENSG00000074800	ENO1	ENSP00000493526	1	8861000	ortholog_one2many	1
ENSTGUG00000003881	ENSTGUT00000004061	ENSG00000145348	TBCK	ENSP00000273980	4	106041599	ortholog_one2one	1
ENSTGUG00000003882	ENSTGUT00000004069	ENSG00000074800	ENO1	ENSP00000493526	1	8861000	ortholog_one2many	1
ENSTGUG00000003883	ENSTGUT00000004409	ENSG00000144821	MYH15	ENSP00000273353	3	108380369	ortholog_one2one	0
ENSTGUG00000003884	ENSTGUT00000004033	ENSG00000072080	SPP2	ENSP00000168148	2	234050679	ortholog_one2one	0
ENSTGUG00000003885	ENSTGUT00000004032	ENSG00000122862	SRGN	ENSP00000242465	10	69088103	ortholog_one2one	0
ENSTGUG00000003886	ENSTGUT00000004052	ENSG00000122958	VPS26A	ENSP00000263559	10	69123512	ortholog_one2one	1
ENSTGUG00000003887	ENSTGUT00000004047	ENSG00000114107	CEP70	ENSP00000264982	3	138494344	ortholog_one2many	0
ENSTGUG00000003888	ENSTGUT00000004039	ENSG00000162704	ARPC5	ENSP00000294742	1	183620846	ortholog_one2one	1
ENSTGUG00000003889	ENSTGUT00000004037							
ENSTGUG00000003890	ENSTGUT00000004042	ENSG00000153406	NMRAL1	ENSP00000458762	16	4461680	ortholog_one2one	1
ENSTGUG00000003891	ENSTGUT00000004038							
ENSTGUG00000003892	ENSTGUT00000004049	ENSG00000141526	SLC16A3	ENSP00000463978	17	82228397	ortholog_one2one	1
ENSTGUG00000003893	ENSTGUT00000004074	ENSG00000116701	NCF2	ENSP00000356505	1	183555563	ortholog_one2one	1
ENSTGUG00000003894	ENSTGUT00000004075	ENSG00000198380	GFPT1	ENSP00000349860	2	69319769	ortholog_one2one	1
ENSTGUG00000003895	ENSTGUT00000004118	ENSG00000132842	AP3B1	ENSP00000255194	5	78000525	ortholog_one2one	1
ENSTGUG00000003896	ENSTGUT00000004067	ENSG00000103423	DNAJA3	ENSP00000262375	16	4425805	ortholog_one2many	1
ENSTGUG00000003897	ENSTGUT00000004060	ENSG00000198355	PIM3	ENSP00000353824	22	49960768	ortholog_one2one	1
ENSTGUG00000003898	ENSTGUT00000004050	ENSG00000178741	COX5A	ENSP00000317780	15	74919791	ortholog_one2many	1
ENSTGUG00000003899	ENSTGUT00000004100	ENSG00000102038	SMARCA1	ENSP00000360162	X	129446501	ortholog_one2many	1
ENSTGUG00000003900	ENSTGUT00000004063	ENSG00000114107	CEP70	ENSP00000264982	3	138494344	ortholog_one2many	0
ENSTGUG00000003901	ENSTGUT00000004070	ENSG00000106682	EIF4H	ENSP00000265753	7	74174245	ortholog_one2one	1
ENSTGUG00000003902	ENSTGUT00000004064	ENSG00000168032	ENTPD3	ENSP00000301825	3	40387156	ortholog_one2one	1
ENSTGUG00000003903	ENSTGUT00000004053	ENSG00000178741	COX5A	ENSP00000317780	15	74919791	ortholog_one2many	1
ENSTGUG00000003904	ENSTGUT00000004086	ENSG00000141551	CSNK1D	ENSP00000381531	17	82239023	ortholog_one2one	1
ENSTGUG00000003905	ENSTGUT00000004058	ENSG00000178761	FAM219B	ENSP00000350260	15	74899992	ortholog_one2one	1
ENSTGUG00000003906	ENSTGUT00000004054	ENSG00000171132	PRKCE	ENSP00000306124	2	45651345	ortholog_one2many	0
ENSTGUG00000003907	ENSTGUT00000004079	ENSG00000156502	SUPV3L1	ENSP00000352678	10	69180234	ortholog_one2one	1
ENSTGUG00000003908	ENSTGUT00000004080	ENSG00000171132	PRKCE	ENSP00000306124	2	45651345	ortholog_one2many	1
ENSTGUG00000003909	ENSTGUT00000004116	ENSG00000177646	ACAD9	ENSP00000312618	3	128879596	ortholog_one2one	1
ENSTGUG00000003910	ENSTGUT00000004084	ENSG00000119392	GLE1	ENSP00000308622	9	128504700	ortholog_one2many	1
ENSTGUG00000003911	ENSTGUT00000004059							
ENSTGUG00000003912	ENSTGUT00000004073	ENSG00000178802	MPI	ENSP00000318318	15	74890005	ortholog_one2one	1
ENSTGUG00000003913	ENSTGUT00000004177							
ENSTGUG00000003914	ENSTGUT00000004065	ENSG00000188263	IL17REL	ENSP00000374633	22	49994513	ortholog_one2one	1
ENSTGUG00000003915	ENSTGUT00000004078	ENSG00000164022	AIMP1	ENSP00000378191	4	106315544	ortholog_one2one	1
ENSTGUG00000003916	ENSTGUT00000004066	ENSG00000158234	FAIM	ENSP00000342805	3	138608606	ortholog_one2many	0
ENSTGUG00000003917	ENSTGUT00000004072	ENSG00000281039	AC005154.5	ENSP00000470615	7	30497077	ortholog_one2many	1
ENSTGUG00000003917	ENSTGUT00000004072	ENSG00000006625	GGCT	ENSP00000275428	7	30496621	ortholog_one2many	1
ENSTGUG00000003918	ENSTGUT00000004095	ENSG00000100427	MLC1	ENSP00000310375	22	50059391	ortholog_one2one	1
ENSTGUG00000003919	ENSTGUT00000004068							
ENSTGUG00000003920	ENSTGUT00000004071	ENSG00000138496	PARP9	ENSP00000353512	3	122527924	ortholog_one2one	0
ENSTGUG00000003921	ENSTGUT00000004210	ENSG00000143515	ATP8B2	ENSP00000357475	1	154325553	ortholog_one2one	1
ENSTGUG00000003922	ENSTGUT00000004085	ENSG00000103426	CORO7-PAM16	ENSP00000460885	16	4340251	ortholog_many2many	0
ENSTGUG00000003922	ENSTGUT00000004085	ENSG00000262246	CORO7	ENSP00000251166	16	4354542	ortholog_many2many	0
ENSTGUG00000003923	ENSTGUT00000004076	ENSG00000132382	MYBBP1A	ENSP00000370968	17	4538897	ortholog_one2one	1
ENSTGUG00000003923	ENSTGUT00000004083	ENSG00000132382	MYBBP1A	ENSP00000370968	17	4538897	ortholog_one2one	1
ENSTGUG00000003924	ENSTGUT00000004099	ENSG00000142599	RERE	ENSP00000338629	1	8352397	ortholog_one2one	1
ENSTGUG00000003925	ENSTGUT00000004077	ENSG00000173193	PARP14	ENSP00000418194	3	122680839	ortholog_one2one	1
ENSTGUG00000003926	ENSTGUT00000004088	ENSG00000106100	NOD1	ENSP00000222823	7	30424527	ortholog_one2one	1
ENSTGUG00000003927	ENSTGUT00000004112	ENSG00000140497	SCAMP2	ENSP00000268099	15	74843730	ortholog_one2one	1
ENSTGUG00000003928	ENSTGUT00000004105	ENSG00000116698	SMG7	ENSP00000425133	1	183472216	ortholog_one2one	1
ENSTGUG00000003929	ENSTGUT00000004144	ENSG00000169604	ANTXR1	ENSP00000301945	2	69013178	ortholog_one2one	1
ENSTGUG00000003930	ENSTGUT00000004081	ENSG00000250298	GIMD1	ENSP00000491450	4	106357485	ortholog_one2one	1
ENSTGUG00000003931	ENSTGUT00000004082							
ENSTGUG00000003932	ENSTGUT00000004090	ENSG00000156510	HKDC1	ENSP00000346643	10	69220332	ortholog_one2one	1
ENSTGUG00000003932	ENSTGUT00000004092	ENSG00000156510	HKDC1	ENSP00000346643	10	69220332	ortholog_one2one	1
ENSTGUG00000003932	ENSTGUT00000004094	ENSG00000156510	HKDC1	ENSP00000346643	10	69220332	ortholog_one2one	1
ENSTGUG00000003933	ENSTGUT00000004131	ENSG00000116016	EPAS1	ENSP00000263734	2	46293667	ortholog_one2one	1
ENSTGUG00000003934	ENSTGUT00000004089							
ENSTGUG00000003935	ENSTGUT00000004097	ENSG00000185621	LMLN	ENSP00000410926	3	197960200	ortholog_one2one	1
ENSTGUG00000003935	ENSTGUT00000004098	ENSG00000185621	LMLN	ENSP00000410926	3	197960200	ortholog_one2one	1
ENSTGUG00000003936	ENSTGUT00000004103	ENSG00000183018	AC118754.1	ENSP00000333292	17	4498881	ortholog_one2one	1
ENSTGUG00000003937	ENSTGUT00000004195	ENSG00000197694	SPTAN1	ENSP00000487444	9	128552558	ortholog_one2many	1
ENSTGUG00000003938	ENSTGUT00000004087							
ENSTGUG00000003939	ENSTGUT00000004121	ENSG00000154265	ABCA5	ENSP00000376443	17	69244311	ortholog_one2many	1
ENSTGUG00000003940	ENSTGUT00000004101	ENSG00000090447	TFAP4	ENSP00000204517	16	4257186	ortholog_one2one	1
ENSTGUG00000003941	ENSTGUT00000004091	ENSG00000180233	ZNRF2	ENSP00000323879	7	30284597	ortholog_one2one	1
ENSTGUG00000003942	ENSTGUT00000004119	ENSG00000138801	PAPSS1	ENSP00000265174	4	107590276	ortholog_one2one	1
ENSTGUG00000003943	ENSTGUT00000004093	ENSG00000180354	MTURN	ENSP00000324204	7	30134986	ortholog_one2one	1
ENSTGUG00000003944	ENSTGUT00000004104	ENSG00000144597	EAF1	ENSP00000380054	3	15427598	ortholog_one2many	1
ENSTGUG00000003945	ENSTGUT00000004159	ENSG00000156515	HK1	ENSP00000494664	10	69269984	ortholog_one2one	1
ENSTGUG00000003946	ENSTGUT00000004096	ENSG00000073146	MOV10L1	ENSP00000262794	22	50089879	ortholog_one2many	0
ENSTGUG00000003947	ENSTGUT00000004107	ENSG00000073146	MOV10L1	ENSP00000262794	22	50089879	ortholog_one2many	1
ENSTGUG00000003947	ENSTGUT00000004108	ENSG00000073146	MOV10L1	ENSP00000262794	22	50089879	ortholog_one2many	1
ENSTGUG00000003948	ENSTGUT00000004110							
ENSTGUG00000003949	ENSTGUT00000004102							
ENSTGUG00000003950	ENSTGUT00000004111	ENSG00000160219	GAB3	ENSP00000399588	X	154675249	ortholog_one2many	1
ENSTGUG00000003951	ENSTGUT00000004106	ENSG00000185739	SRL	ENSP00000382518	16	4189374	ortholog_one2many	1
ENSTGUG00000003952	ENSTGUT00000004109	ENSG00000187634	SAMD11	ENSP00000342313	1	923928	ortholog_one2one	1
ENSTGUG00000003953	ENSTGUT00000004127	ENSG00000182557	SPNS3	ENSP00000347721	17	4433940	ortholog_one2one	1
ENSTGUG00000003954	ENSTGUT00000004115	ENSG00000206562	METTL6	ENSP00000407613	3	15381275	ortholog_one2one	1
ENSTGUG00000003955	ENSTGUT00000004134	ENSG00000157064	NMNAT2	ENSP00000287713	1	183248237	ortholog_one2many	1
ENSTGUG00000003956	ENSTGUT00000004117	ENSG00000162104	ADCY9	ENSP00000294016	16	3953387	ortholog_one2many	1
ENSTGUG00000003957	ENSTGUT00000004113	ENSG00000073150	PANX2	ENSP00000379183	22	50170731	ortholog_one2one	1
ENSTGUG00000003958	ENSTGUT00000004146	ENSG00000188976	NOC2L	ENSP00000317992	1	944203	ortholog_one2many	1
ENSTGUG00000003959	ENSTGUT00000004140	ENSG00000144909	OSBPL11	ENSP00000296220	3	125528858	ortholog_one2one	1
ENSTGUG00000003960	ENSTGUT00000004165							
ENSTGUG00000003961	ENSTGUT00000004114							
ENSTGUG00000003962	ENSTGUT00000004125	ENSG00000140474	ULK3	ENSP00000400312	15	74836118	ortholog_one2one	1
ENSTGUG00000003963	ENSTGUT00000004129	ENSG00000170638	TRABD	ENSP00000379173	22	50185915	ortholog_one2many	1
ENSTGUG00000003964	ENSTGUT00000004142	ENSG00000131370	SH3BP5	ENSP00000373301	3	15254353	ortholog_one2one	1
ENSTGUG00000003965	ENSTGUT00000004123	ENSG00000114654	EFCC1	ENSP00000414597	3	129001629	ortholog_one2one	1
ENSTGUG00000003965	ENSTGUT00000004126	ENSG00000114654	EFCC1	ENSP00000414597	3	129001629	ortholog_one2one	1
ENSTGUG00000003965	ENSTGUT00000004128	ENSG00000114654	EFCC1	ENSP00000414597	3	129001629	ortholog_one2one	1
ENSTGUG00000003966	ENSTGUT00000004120	ENSG00000162104	ADCY9	ENSP00000294016	16	3953387	ortholog_one2many	1
ENSTGUG00000003967	ENSTGUT00000004135	ENSG00000164023	SGMS2	ENSP00000378176	4	107824563	ortholog_one2one	1
ENSTGUG00000003968	ENSTGUT00000004124	ENSG00000171530	TBCA	ENSP00000306362	5	77691166	ortholog_one2one	1
ENSTGUG00000003969	ENSTGUT00000004122							
ENSTGUG00000003970	ENSTGUT00000004145	ENSG00000154265	ABCA5	ENSP00000376443	17	69244311	ortholog_one2many	1
ENSTGUG00000003970	ENSTGUT00000004148	ENSG00000154265	ABCA5	ENSP00000376443	17	69244311	ortholog_one2many	1
ENSTGUG00000003971	ENSTGUT00000004191	ENSG00000005339	CREBBP	ENSP00000262367	16	3725054	ortholog_one2one	1
ENSTGUG00000003972	ENSTGUT00000004149	ENSG00000164253	WDR41	ENSP00000296679	5	77425970	ortholog_one2one	1
ENSTGUG00000003973	ENSTGUT00000004130	ENSG00000213578	CPLX3	ENSP00000378464	15	74826627	ortholog_one2one	1
ENSTGUG00000003974	ENSTGUT00000004138	ENSG00000132388	UBE2G1	ENSP00000380178	17	4269259	ortholog_one2one	1
ENSTGUG00000003975	ENSTGUT00000004132							
ENSTGUG00000003976	ENSTGUT00000004141	ENSG00000073169	SELENOO	ENSP00000370288	22	50200979	ortholog_one2one	1
ENSTGUG00000003977	ENSTGUT00000004161	ENSG00000140505	CYP1A2	ENSP00000342007	15	74748845	ortholog_one2many	1
ENSTGUG00000003977	ENSTGUT00000004161	ENSG00000140465	CYP1A1	ENSP00000378488	15	74719542	ortholog_one2many	1
ENSTGUG00000003978	ENSTGUT00000004133	ENSG00000169704	GP9	ENSP00000303942	3	129060767	ortholog_one2one	1
ENSTGUG00000003979	ENSTGUT00000004143	ENSG00000151665	PIGF	ENSP00000281382	2	46580937	ortholog_one2one	1
ENSTGUG00000003980	ENSTGUT00000004137	ENSG00000172780	RAB43	ENSP00000319781	3	129087569	ortholog_one2one	1
ENSTGUG00000003981	ENSTGUT00000004136							
ENSTGUG00000003982	ENSTGUT00000004139	ENSG00000135862	LAMC1	ENSP00000258341	1	183023420	ortholog_one2many	0
ENSTGUG00000003983	ENSTGUT00000004158	ENSG00000155016	CYP2U1	ENSP00000333212	4	107931549	ortholog_one2one	1
ENSTGUG00000003984	ENSTGUT00000004151							
ENSTGUG00000003985	ENSTGUT00000004174	ENSG00000135862	LAMC1	ENSP00000258341	1	183023420	ortholog_one2many	1
ENSTGUG00000003986	ENSTGUT00000004169	ENSG00000185722	ANKFY1	ENSP00000459943	17	4163821	ortholog_one2one	1
ENSTGUG00000003987	ENSTGUT00000004154							
ENSTGUG00000003988	ENSTGUT00000004147	ENSG00000128159	TUBGCP6	ENSP00000248846	22	50217689	ortholog_one2many	0
ENSTGUG00000003989	ENSTGUT00000004152	ENSG00000119878	CRIPT	ENSP00000238892	2	46616416	ortholog_one2one	1
ENSTGUG00000003990	ENSTGUT00000004150	ENSG00000183607	GKN2	ENSP00000329292	2	68945232	ortholog_one2one	0
ENSTGUG00000003991	ENSTGUT00000004171	ENSG00000187961	KLHL17	ENSP00000343930	1	960584	ortholog_one2one	1
ENSTGUG00000003992	ENSTGUT00000004156	ENSG00000131375	CAPN7	ENSP00000253693	3	15206152	ortholog_one2many	1
ENSTGUG00000003993	ENSTGUT00000004157	ENSG00000128159	TUBGCP6	ENSP00000248846	22	50217689	ortholog_one2many	1
ENSTGUG00000003994	ENSTGUT00000004235	ENSG00000154263	ABCA10	ENSP00000269081	17	69147214	ortholog_one2one	1
ENSTGUG00000003995	ENSTGUT00000004176	ENSG00000284762	AC022414.1	ENSP00000493971	5	77086732	ortholog_one2many	1
ENSTGUG00000003995	ENSTGUT00000004176	ENSG00000113231	PDE8B	ENSP00000264917	5	77210449	ortholog_one2many	1
ENSTGUG00000003996	ENSTGUT00000004153	ENSG00000163217	BMP10	ENSP00000295379	2	68860909	ortholog_one2one	1
ENSTGUG00000003997	ENSTGUT00000004170	ENSG00000143514	TP53BP2	ENSP00000341957	1	223779893	ortholog_one2one	1
ENSTGUG00000003998	ENSTGUT00000004155	ENSG00000261796	ISY1-RAB43	ENSP00000411822	3	129087575	ortholog_many2many	1
ENSTGUG00000003998	ENSTGUT00000004155	ENSG00000240682	ISY1	ENSP00000273541	3	129127415	ortholog_many2many	1
ENSTGUG00000003999	ENSTGUT00000004162	ENSG00000163219	ARHGAP25	ENSP00000386911	2	68679601	ortholog_one2one	1
ENSTGUG00000004000	ENSTGUT00000004164	ENSG00000114520	SNX4	ENSP00000251775	3	125446650	ortholog_one2one	1
ENSTGUG00000004001	ENSTGUT00000004160	ENSG00000169714	CNBP	ENSP00000410769	3	129169484	ortholog_one2one	1
ENSTGUG00000004002	ENSTGUT00000004182							
ENSTGUG00000004003	ENSTGUT00000004197	ENSG00000094631	HDAC6	ENSP00000334061	X	48801377	ortholog_one2one	0
ENSTGUG00000004004	ENSTGUT00000004166	ENSG00000138796	HADH	ENSP00000474560	4	107989714	ortholog_one2one	1
ENSTGUG00000004005	ENSTGUT00000004163	ENSG00000075073	TACR2	ENSP00000362403	10	69403903	ortholog_one2many	1
ENSTGUG00000004006	ENSTGUT00000004168	ENSG00000132155	RAF1	ENSP00000401888	3	12583601	ortholog_one2one	1
ENSTGUG00000004006	ENSTGUT00000004173	ENSG00000132155	RAF1	ENSP00000401888	3	12583601	ortholog_one2one	1
ENSTGUG00000004007	ENSTGUT00000004167	ENSG00000179151	EDC3	ENSP00000497737	15	74630558	ortholog_one2one	1
ENSTGUG00000004008	ENSTGUT00000004192	ENSG00000101290	CDS2	ENSP00000419879	20	5126879	ortholog_one2one	1
ENSTGUG00000004009	ENSTGUT00000004181	ENSG00000099282	TSPAN15	ENSP00000362387	10	69451465	ortholog_one2many	1
ENSTGUG00000004010	ENSTGUT00000004179	ENSG00000163848	ZNF148	ENSP00000353863	3	125225561	ortholog_one2one	1
ENSTGUG00000004011	ENSTGUT00000004184	ENSG00000155959	VBP1	ENSP00000286428	X	155197007	ortholog_one2one	1
ENSTGUG00000004012	ENSTGUT00000004172	ENSG00000179335	CLK3	ENSP00000378505	15	74598500	ortholog_one2one	0
ENSTGUG00000004013	ENSTGUT00000004214	ENSG00000138795	LEF1	ENSP00000265165	4	108047545	ortholog_one2one	1
ENSTGUG00000004014	ENSTGUT00000004183	ENSG00000179361	ARID3B	ENSP00000477878	15	74541177	ortholog_one2one	1
